OID_,LAT,LON
1296,31.117979739999999,-120.544440809999998
1297,31.130722670000001,-120.487932509999993
1298,31.143436550000001,-120.431406499999994
1299,31.156121379999998,-120.374862800000002
1300,31.168777150000000,-120.318301460000001
1301,31.181403830000001,-120.261722489999997
1302,31.194001430000000,-120.205125929999994
1303,31.206569930000001,-120.148511819999996
1383,31.153490240000000,-120.615897070000003
1384,31.166268570000000,-120.559375270000004
1385,31.179017869999999,-120.502835700000006
1386,31.191738109999999,-120.446278379999995
1387,31.204429279999999,-120.389703339999997
1388,31.217091379999999,-120.333110619999999
1389,31.229724390000001,-120.276500260000006
1390,31.242328300000000,-120.219872269999996
1391,31.254903110000001,-120.163226690000002
1392,31.267448790000000,-120.106563559999998
1393,31.279965340000000,-120.049882909999994
1394,31.292452760000000,-119.993184760000005
1395,31.304911019999999,-119.936469160000001
1396,31.317340110000000,-119.879736129999998
1397,31.329740040000001,-119.822985709999998
1398,31.342110779999999,-119.766217920000003
1471,31.201766079999999,-120.630880590000004
1472,31.214550809999999,-120.574327510000003
1473,31.227306479999999,-120.517756629999994
1474,31.240033090000001,-120.461167970000005
1475,31.252730620000001,-120.404561569999998
1476,31.265399070000001,-120.347937439999995
1477,31.278038420000001,-120.291295640000001
1478,31.290648659999999,-120.234636190000003
1479,31.303229779999999,-120.177959119999997
1480,31.315781770000001,-120.121264470000000
1481,31.328304620000001,-120.064552259999999
1482,31.340798310000000,-120.007822520000005
1483,31.353262850000000,-119.951075309999993
1484,31.365698210000001,-119.894310630000007
1485,31.378104390000001,-119.837528530000000
1486,31.390481370000000,-119.780729039999997
1487,31.402829140000001,-119.723912179999999
1488,31.415147699999999,-119.667078009999997
1489,31.427437040000001,-119.610226530000006
1490,31.439697129999999,-119.553357800000001
1491,31.451927980000001,-119.496471839999998
1492,31.464129560000000,-119.439568690000002
1493,31.476301880000001,-119.382648369999998
1559,31.237215140000000,-120.702448459999999
1560,31.250035329999999,-120.645881950000003
1561,31.262826459999999,-120.589297569999999
1562,31.275588530000000,-120.532695340000004
1563,31.288321520000000,-120.476075309999999
1564,31.301025429999999,-120.419437500000001
1565,31.313700239999999,-120.362781949999999
1566,31.326345940000000,-120.306108679999994
1567,31.338962519999999,-120.249417730000005
1568,31.351549970000001,-120.192709140000005
1569,31.364108280000000,-120.135982920000004
1570,31.376637440000000,-120.079239130000005
1571,31.389137439999999,-120.022477780000003
1572,31.401608260000000,-119.965698910000000
1573,31.414049899999998,-119.908902549999993
1574,31.426462340000000,-119.852088739999999
1575,31.438845579999999,-119.795257509999999
1576,31.451199599999999,-119.738408879999994
1577,31.463524400000001,-119.681542899999997
1578,31.475819950000002,-119.624659600000001
1579,31.488086259999999,-119.567759010000003
1580,31.500323309999999,-119.510841150000005
1581,31.512531079999999,-119.453906070000002
1582,31.524709580000000,-119.396953800000006
1583,31.536858779999999,-119.339984369999996
1584,31.548978680000001,-119.282997820000006
1585,31.561069270000001,-119.225994170000007
1586,31.573130540000001,-119.168973460000004
1587,31.585162470000000,-119.111935729999999
1588,31.597165059999998,-119.054881010000003
1589,31.609138290000001,-118.997809320000002
1590,31.621082149999999,-118.940720709999994
1648,31.285471390000001,-120.717499000000004
1649,31.298298010000000,-120.660901179999996
1650,31.311095559999998,-120.604285460000000
1651,31.323864040000000,-120.547651860000002
1652,31.336603430000000,-120.491000420000006
1653,31.349313729999999,-120.434331180000001
1654,31.361994910000000,-120.377644160000003
1655,31.374646980000001,-120.320939400000000
1656,31.387269920000001,-120.264216919999996
1657,31.399863719999999,-120.207476770000000
1658,31.412428360000000,-120.150718970000000
1659,31.424963850000001,-120.093943550000006
1660,31.437470160000000,-120.037150550000007
1661,31.449947280000000,-119.980339999999998
1662,31.462395210000000,-119.923511930000004
1663,31.474813940000001,-119.866666379999998
1664,31.487203449999999,-119.809803369999997
1665,31.499563729999998,-119.752922940000005
1666,31.511894770000001,-119.696025129999995
1667,31.524196560000000,-119.639109959999999
1668,31.536469090000001,-119.582177470000005
1669,31.548712360000000,-119.525227689999994
1670,31.560926340000002,-119.468260650000005
1671,31.573111030000000,-119.411276400000006
1672,31.585266409999999,-119.354274950000004
1673,31.597392490000001,-119.297256349999998
1674,31.609489230000001,-119.240220620000002
1675,31.621556649999999,-119.183167810000000
1676,31.633594720000001,-119.126097939999994
1677,31.645603430000001,-119.069011050000000
1678,31.657582770000001,-119.011907170000001
1679,31.669532740000001,-118.954786330000005
1680,31.681453319999999,-118.897648570000001
1681,31.693344499999998,-118.840493929999994
1682,31.705206279999999,-118.783322429999998
1683,31.717038630000001,-118.726134110000004
1684,31.728841549999999,-118.668929009999999
1685,31.740615030000001,-118.611707150000001
1686,31.752359070000001,-118.554468580000005
1737,31.320858959999999,-120.789178680000006
1738,31.333721090000001,-120.732567480000000
1739,31.346554149999999,-120.675938320000000
1740,31.359358140000001,-120.619291219999994
1741,31.372133040000001,-120.562626219999999
1742,31.384878839999999,-120.505943349999995
1743,31.397595540000001,-120.449242639999994
1744,31.410283119999999,-120.392524120000004
1745,31.422941569999999,-120.335787830000001
1746,31.435570880000000,-120.279033790000000
1747,31.448171039999998,-120.222262049999998
1748,31.460742029999999,-120.165472620000003
1749,31.473283850000001,-120.108665549999998
1750,31.485796489999998,-120.051840870000007
1751,31.498279940000000,-119.994998609999996
1752,31.510734169999999,-119.938138789999996
1753,31.523159190000001,-119.881261460000005
1754,31.535554980000001,-119.824366650000002
1755,31.547921540000001,-119.767454389999997
1756,31.560258839999999,-119.710524699999993
1757,31.572566890000001,-119.653577639999995
1758,31.584845659999999,-119.596613219999995
1759,31.597095150000001,-119.539631479999997
1760,31.609315349999999,-119.482632460000005
1761,31.621506249999999,-119.425616180000006
1762,31.633667830000000,-119.368582680000003
1763,31.645800090000002,-119.311532000000000
1764,31.657903009999998,-119.254464159999998
1765,31.669976590000001,-119.197379209999994
1766,31.682020810000001,-119.140277170000005
1767,31.694035660000001,-119.083158080000004
1768,31.706021140000001,-119.026021959999994
1769,31.717977220000002,-118.968868869999994
1770,31.729903910000001,-118.911698819999998
1771,31.741801180000000,-118.854511849999994
1772,31.753669039999998,-118.797308000000001
1773,31.765507459999998,-118.740087299999999
1774,31.777316450000001,-118.682849790000006
1775,31.789095979999999,-118.625595500000003
1776,31.800846040000000,-118.568324450000006
1777,31.812566640000000,-118.511036700000005
1778,31.824257750000001,-118.453732259999995
1779,31.835919369999999,-118.396411189999995
1780,31.847551480000000,-118.339073499999998
1781,31.859154069999999,-118.281719240000001
1782,31.870727140000000,-118.224348430000006
1783,31.882270680000001,-118.166961130000004
1827,31.369095649999998,-120.804296460000003
1828,31.381964249999999,-120.747653920000005
1829,31.394803769999999,-120.690993390000003
1830,31.407614209999998,-120.634314880000005
1831,31.420395549999999,-120.577618450000003
1832,31.433147779999999,-120.520904110000004
1833,31.445870889999998,-120.464171899999997
1834,31.458564880000001,-120.407421850000006
1835,31.471229730000001,-120.350654000000006
1836,31.483865420000001,-120.293868380000006
1837,31.496471950000000,-120.237065009999995
1838,31.509049310000002,-120.180243930000003
1839,31.521597490000001,-120.123405169999998
1840,31.534116470000001,-120.066548769999997
1841,31.546606239999999,-120.009674759999996
1842,31.559066800000000,-119.952783170000004
1843,31.571498129999998,-119.895874030000002
1844,31.583900220000000,-119.838947379999993
1845,31.596273069999999,-119.782003250000002
1846,31.608616649999998,-119.725041669999996
1847,31.620930959999999,-119.668062669999998
1848,31.633215990000000,-119.611066289999997
1849,31.645471720000000,-119.554052560000002
1850,31.657698150000002,-119.497021509999996
1851,31.669895270000001,-119.439973179999996
1852,31.682063070000002,-119.382907599999996
1853,31.694201520000000,-119.325824800000007
1854,31.706310630000001,-119.268724820000003
1855,31.718390390000000,-119.211607700000002
1856,31.730440770000001,-119.154473449999998
1857,31.742461779999999,-119.097322120000001
1858,31.754453399999999,-119.040153750000002
1859,31.766415609999999,-118.982968349999993
1860,31.778348420000000,-118.925765979999994
1861,31.790251800000000,-118.868546660000007
1862,31.802125759999999,-118.811310430000006
1863,31.813970269999999,-118.754057309999993
1864,31.825785320000001,-118.696787360000002
1865,31.837570920000001,-118.639500589999997
1866,31.849327039999999,-118.582197039999997
1867,31.861053670000000,-118.524876750000004
1868,31.872750809999999,-118.467539759999994
1869,31.884418440000001,-118.410186089999996
1870,31.896056550000001,-118.352815780000000
1871,31.907665139999999,-118.295428860000001
1872,31.919244190000001,-118.238025379999996
1873,31.930793699999999,-118.180605360000001
1874,31.942313639999998,-118.123168840000005
1875,31.953804020000000,-118.065715859999997
1876,31.965264810000001,-118.008246439999994
1877,31.976696019999999,-117.950760630000005
1878,31.988097629999999,-117.893258459999998
1879,31.999469619999999,-117.835739959999998
1880,32.010812000000001,-117.778205180000000
1881,32.022124740000002,-117.720654139999994
1917,31.404421660000001,-120.876088129999999
1918,31.417325819999999,-120.819432280000001
1919,31.430200899999999,-120.762758360000007
1920,31.443046890000002,-120.706066419999999
1921,31.455863789999999,-120.649356479999994
1922,31.468651590000000,-120.592628579999996
1923,31.481410270000001,-120.535882740000005
1924,31.494139810000000,-120.479118999999997
1925,31.506840220000001,-120.422337389999996
1926,31.519511479999998,-120.365537950000004
1927,31.532153569999998,-120.308720699999995
1928,31.544766490000001,-120.251885669999993
1929,31.557350230000001,-120.195032909999995
1930,31.569904780000002,-120.138162440000002
1931,31.582430110000001,-120.081274289999996
1932,31.594926229999999,-120.024368499999994
1933,31.607393129999998,-119.967445100000006
1934,31.619830780000001,-119.910504119999999
1935,31.632239190000000,-119.853545589999996
1936,31.644618330000000,-119.796569559999995
1937,31.656968200000001,-119.739576040000003
1938,31.669288800000000,-119.682565080000003
1939,31.681580090000001,-119.625536710000006
1940,31.693842090000000,-119.568490949999997
1941,31.706074770000001,-119.511427850000004
1942,31.718278120000001,-119.454347429999999
1943,31.730452140000001,-119.397249740000007
1944,31.742596809999998,-119.340134789999993
1945,31.754712120000001,-119.283002640000007
1946,31.766798070000000,-119.225853299999997
1947,31.778854630000001,-119.168686809999997
1948,31.790881809999998,-119.111503220000003
1949,31.802879579999999,-119.054302539999995
1950,31.814847940000000,-118.997084819999998
1951,31.826786880000000,-118.939850089999993
1952,31.838696389999999,-118.882598380000005
1953,31.850576459999999,-118.825329730000007
1954,31.862427060000002,-118.768044169999996
1955,31.874248210000001,-118.710741729999995
1956,31.886039879999998,-118.653422449999994
1957,31.897802060000000,-118.596086369999995
1958,31.909534749999999,-118.538733510000000
1959,31.921237930000000,-118.481363920000007
1960,31.932911590000000,-118.423977620000002
1961,31.944555720000000,-118.366574659999998
1962,31.956170319999998,-118.309155059999995
1963,31.967755360000002,-118.251718859999997
1964,31.979310850000001,-118.194266089999999
1965,31.990836770000001,-118.136796799999999
1966,32.002333100000001,-118.079311009999998
1967,32.013799839999997,-118.021808759999999
1968,32.025236980000003,-117.964290090000006
1969,32.036644510000002,-117.906755029999999
1970,32.048022420000002,-117.849203610000004
1971,32.059370700000002,-117.791635880000001
1972,32.070689330000000,-117.734051859999994
1973,32.081978300000003,-117.676451589999999
1974,32.093237619999996,-117.618835110000006
1975,32.104467260000000,-117.561202449999996
1976,32.115667209999998,-117.503553650000001
1977,32.126837469999998,-117.445888740000001
1978,32.137978029999999,-117.388207760000000
1979,32.149088870000000,-117.330510750000002
2008,31.452638820000001,-120.891273380000001
2009,31.465549480000000,-120.834586150000007
2010,31.478431059999998,-120.777880830000001
2011,31.491283549999999,-120.721157460000001
2012,31.504106929999999,-120.664416050000000
2013,31.516901189999999,-120.607656640000002
2014,31.529666330000001,-120.550879280000004
2015,31.542402320000001,-120.494083970000005
2016,31.555109160000001,-120.437270769999998
2017,31.567786850000001,-120.380439699999997
2018,31.580435359999999,-120.323590789999997
2019,31.593054680000002,-120.266724080000003
2020,31.605644810000001,-120.209839599999995
2021,31.618205740000001,-120.152937379999997
2022,31.630737450000002,-120.096017450000005
2023,31.643239930000000,-120.039079849999993
2024,31.655713169999999,-119.982124600000006
2025,31.668157170000001,-119.925151749999998
2026,31.680571900000000,-119.868161319999999
2027,31.692957360000001,-119.811153349999998
2028,31.705313539999999,-119.754127870000005
2029,31.717640429999999,-119.697084910000001
2030,31.729938010000001,-119.640024499999996
2031,31.742206280000001,-119.582946690000000
2032,31.754445220000001,-119.525851500000002
2033,31.766654819999999,-119.468738959999996
2034,31.778835080000000,-119.411609119999994
2035,31.790985979999999,-119.354461990000004
2036,31.803107510000000,-119.297297630000003
2037,31.815199660000001,-119.240116049999997
2038,31.827262409999999,-119.182917290000006
2039,31.839295770000000,-119.125701390000003
2040,31.851299720000000,-119.068468390000007
2041,31.863274239999999,-119.011218299999996
2042,31.875219330000000,-118.953951180000004
2043,31.887134970000002,-118.896667050000005
2044,31.899021160000000,-118.839365939999993
2045,31.910877880000001,-118.782047899999995
2046,31.922705130000001,-118.724712949999997
2047,31.934502890000001,-118.667361130000003
2048,31.946271150000001,-118.609992469999995
2049,31.958009910000001,-118.552607010000003
2050,31.969719139999999,-118.495204790000003
2051,31.981398850000001,-118.437785829999996
2052,31.993049010000000,-118.380350170000000
2053,32.004669630000002,-118.322897850000004
2054,32.016260680000002,-118.265428900000003
2055,32.027822159999999,-118.207943360000002
2056,32.039354060000001,-118.150441259999994
2057,32.050856369999998,-118.092922630000004
2058,32.062329069999997,-118.035387510000007
2059,32.073772159999997,-117.977835940000006
2060,32.085185629999998,-117.920267949999996
2061,32.096569459999998,-117.862683579999995
2062,32.107923649999996,-117.805082859999999
2063,32.119248180000000,-117.747465820000002
2064,32.130543039999999,-117.689832510000002
2065,32.141808230000002,-117.632182959999994
