OID_,LAT,LON
1,37.414060450000001,-122.067363099999994
2,37.418265849999997,-122.072846380000001
3,37.418340680000000,-122.067457309999995
4,37.422545839999998,-122.072940590000002
5,37.422620670000001,-122.067551519999995
6,37.426825590000000,-122.073034809999996
7,37.426900410000002,-122.067645740000003
8,37.430356940000003,-122.127019700000005
9,37.430431749999997,-122.121630640000006
10,37.431105090000003,-122.073129019999996
11,37.431179899999997,-122.067739950000004
12,37.432750980000002,-121.954569520000007
13,37.432825790000003,-121.949180450000000
14,37.434636240000003,-122.127113919999999
15,37.434711049999997,-122.121724850000007
16,37.434785859999998,-122.116335780000000
17,37.434935480000000,-122.105557649999994
18,37.435010290000001,-122.100168580000002
19,37.435085100000002,-122.094779509999995
20,37.435459150000000,-122.067834169999998
21,37.436955330000004,-121.960052800000000
22,37.437030139999997,-121.954663740000001
23,37.438990099999998,-122.121819060000007
24,37.439064899999998,-122.116429999999994
25,37.439139709999999,-122.111040930000001
26,37.439214509999999,-122.105651859999995
27,37.439289320000000,-122.100262790000002
28,37.439364130000001,-122.094873719999995
29,37.439438930000001,-122.089484650000003
30,37.439663349999996,-122.073317450000005
31,37.439738159999997,-122.067928379999998
32,37.441159450000001,-121.965536090000001
33,37.441234250000001,-121.960147019999994
34,37.441309060000002,-121.954757950000001
35,37.443343700000000,-122.116524209999994
36,37.443418500000000,-122.111135140000002
37,37.443493310000001,-122.105746069999995
38,37.443568110000001,-122.100357009999996
39,37.443642910000001,-122.094967940000004
40,37.443717710000001,-122.089578869999997
41,37.443867310000002,-122.078800729999998
42,37.444016920000003,-122.068022600000006
43,37.444091720000003,-122.062633529999999
44,37.444166520000003,-122.057244460000007
45,37.444241320000003,-122.051855390000000
46,37.444316120000003,-122.046466319999993
47,37.445363329999999,-121.971019369999993
48,37.445438129999999,-121.965630300000001
49,37.445512930000000,-121.960241229999994
50,37.445961730000001,-121.927906820000004
51,37.446036530000001,-121.922517749999997
52,37.447771850000002,-122.105840290000003
53,37.447846650000002,-122.100451219999997
54,37.447921450000003,-122.095062150000004
55,37.447996240000002,-122.089673079999997
56,37.448071040000002,-122.084284019999998
57,37.448145840000002,-122.078894950000006
58,37.448220640000002,-122.073505879999999
59,37.448295430000002,-122.068116810000006
60,37.448370230000002,-122.062727740000000
61,37.448445030000002,-122.057338669999993
62,37.448519830000002,-122.051949609999994
63,37.448594620000001,-122.046560540000002
64,37.448669420000002,-122.041171469999995
65,37.448744220000002,-122.035782400000002
66,37.448819010000001,-122.030393329999995
67,37.449641769999999,-121.971113579999994
68,37.449716570000000,-121.965724510000001
69,37.449940949999998,-121.949557310000003
70,37.450015749999999,-121.944168239999996
71,37.450240129999997,-121.928001039999998
72,37.450314929999998,-121.922611970000005
73,37.451601390000000,-122.138268909999994
74,37.451676190000001,-122.132879840000001
75,37.451750980000000,-122.127490780000002
76,37.451825769999999,-122.122101709999995
77,37.451975359999999,-122.111323569999996
78,37.452050149999998,-122.105934500000004
79,37.452124949999998,-122.100545429999997
80,37.452199739999998,-122.095156369999998
81,37.452274529999997,-122.089767300000005
82,37.452349329999997,-122.084378229999999
83,37.452424120000003,-122.078989160000006
84,37.452498910000003,-122.073600089999999
85,37.452573710000003,-122.068211030000001
86,37.452648500000002,-122.062821959999994
87,37.452723290000002,-122.057432890000001
88,37.452798080000001,-122.052043819999994
89,37.452872880000001,-122.046654750000002
90,37.452947670000000,-122.041265679999995
91,37.453022460000000,-122.035876619999996
92,37.453097249999999,-122.030487550000004
93,37.453845170000001,-121.976596869999995
94,37.453919960000000,-121.971207800000002
95,37.453994760000000,-121.965818729999995
96,37.454144339999999,-121.955040589999996
97,37.454219129999998,-121.949651529999997
98,37.454293919999998,-121.944262460000004
99,37.454368709999997,-121.938873389999998
100,37.454443499999996,-121.933484320000005
101,37.454518290000003,-121.928095249999998
102,37.454593080000002,-121.922706180000006
103,37.455879480000000,-122.138363130000002
104,37.455954259999999,-122.132974059999995
105,37.456029049999998,-122.127584990000003
106,37.456103839999997,-122.122195919999996
107,37.456178629999997,-122.116806850000003
108,37.456253420000003,-122.111417790000004
109,37.456328210000002,-122.106028719999998
110,37.456403000000002,-122.100639650000005
111,37.456477790000001,-122.095250579999998
112,37.456552580000000,-122.089861510000006
113,37.456627370000000,-122.084472439999999
114,37.456702159999999,-122.079083380000000
115,37.456776939999997,-122.073694309999993
116,37.456851729999997,-122.068305240000001
117,37.456926520000003,-122.062916169999994
118,37.457001310000003,-122.057527100000001
119,37.457076100000002,-122.052138040000003
120,37.457150890000001,-122.046748969999996
121,37.457225670000000,-122.041359900000003
122,37.457300459999999,-122.035970829999997
123,37.457375249999998,-122.030581760000004
124,37.457524829999997,-122.019803629999998
125,37.457973549999998,-121.987469219999994
126,37.458048339999998,-121.982080150000002
127,37.458123129999997,-121.976691079999995
128,37.458197910000003,-121.971302010000002
129,37.458272700000002,-121.965912939999996
130,37.458347490000001,-121.960523879999997
131,37.458422280000001,-121.955134810000004
132,37.458497059999999,-121.949745739999997
